Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96131,0,1.81752,0.00102029,0.0727602,0,0.111504,5.08203e-06,0.115865,0,1.23285,0.00101325,0.0183143,0,0.0876581,4.99254e-06,, , 0.0677627,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134816,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.99254e-06,0.0585562
2,15.1248,15.1823,11.3414,0.0101434,0.498477,0.502562,3.41981,0.00035405,3.68406,3.74157,9.61489,0.00982993,0.172652,0.176737,2.55137,2.16665e-05,, , 0.533017,6.59864,0.293982,15.1163,9.97854,9.61489,0.00982993,0.0155217,0.201354,0.129148,0.0188861,0.00853657,0.640836,2.55137,2.16665e-05,0.920125
3,4.20579,4.23089,7.27448,0.0169293,0.170058,0.171785,2.83018,9.68126e-05,0.891599,0.916704,6.41631,0.0163023,0.0664152,0.0681428,1.10064,1.02549e-05,, , 0.230499,1.44982,0.127988,5.23262,3.22802,6.41631,0.0163023,0.0293457,0.0845511,0.0417726,0.00823428,0.00755516,0.204585,1.10064,1.02549e-05,1.73961
4,6.17661,6.23328,7.76721,0.0387072,0.269999,0.273595,5.63443,0.000595005,1.10262,1.15929,6.4164,0.0374532,0.127489,0.131085,2.17641,0.000141364,, , 0.464176,1.54823,0.249511,8.74862,4.69842,6.4164,0.0374532,0.0584488,0.165977,0.0761984,0.0163987,0.0118465,0.284231,2.17641,0.000141364,3.46485
5,1.52987,1.55073,7.03864,0.0641366,0.0873989,0.088483,7.70974,0.00015469,0.274171,0.295028,5.50282,0.0616285,0.0478429,0.048927,0.795905,4.77979e-05,, , 0.170441,0.307138,0.0916197,6.2831,1.66068,5.50282,0.0616285,0.116473,0.066676,0.024022,0.00607196,0.017688,0.0855392,0.795905,4.77979e-05,6.90454
6,2.44459,2.48862,8.44014,0.136586,0.149088,0.151897,15.3482,0.000334093,0.447861,0.491889,5.50277,0.131569,0.0950794,0.097888,1.52082,0.000215904,, , 0.349232,0.409594,0.180924,11.9572,2.76674,5.50277,0.131569,0.232886,0.134193,0.0467762,0.0119983,0.0313899,0.125166,1.52082,0.000215904,13.8055
7,0.469913,0.471055,9.57579,0.138524,0.029464,0.0297244,49.3767,0.000230437,0.385675,0.386817,0.0132912,0.12144,0.0161383,0.0163987,0.213952,1.3213e-05,, , 0.00970994,0.757676,0.00510665,12.0326,0.287429,0.0132912,0.12144,0.827824,0.0130136,0.0183357,0.00118768,0.107445,0.0520212,0.213952,1.3213e-05,49.0734
8,0.0286198,0.0287563,0.0180194,0.000570749,0.000539104,0.000545288,0.0602445,3.39904e-07,0.00198379,0.00212029,0.00204856,0.000549894,8.72504e-05,9.34347e-05,0.000225339,7.47374e-08,, , 0.00127036,0.00218914,0.000644581,0.0803593,0.0212412,0.00204856,0.000549894,0.00101147,7.34894e-05,8.89254e-05,1.82703e-05,0.000321226,0.00074128,0.000225339,7.47374e-08,0.0599602
Total,37.9415,30.1856,53.2732,0.406618,1.27778,1.21859,84.4908,0.00177051,6.90384,6.99342,34.7014,0.379786,0.544018,0.539272,8.44698,0.000455268,, , 1.82611,11.0806,0.990543,66.3248,24.208,34.7014,0.379786,1.2825,0.67932,0.339823,0.0641467,0.186405,1.4432,8.44698,0.000455268,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11965,0.00820971,1.51405,19.3502,0.0204172,3.76536
